trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,quite proud,C1,own country,local region,female (working),44,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own town,own country,female (working),59,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C2,own town,own country,female (housewife),53,skilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,Europe,male,26,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,AB,own country,own town,female (housewife),3,mdl. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,AB,own town,own country,male,21,mdl. lvl. non-manual,17,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C1,own country,Europe,male,31,small buisnessowner,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,male,31,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,DE,own town,own country,female (housewife),16,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,own town,male,36,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,the whole world,female (working),58,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,local region,male,41,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,male,61,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,DE,own town,own country,female (housewife),7,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,AB,own country,local region,female (working),30,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
can't be too careful,not at all proud,AB,own town,own country,male,23,mdl. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,AB,own town,own country,female (working),57,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked
undetermined,quite proud,AB,own country,local region,male,12,small buisnessowner,21 or over,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,AB,own country,Europe,male,29,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,local region,female (working),29,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,local region,own country,female (housewife),41,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,AB,own country,Europe,male,8,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,own town,male,18,mdl. lvl. non-manual,21 or over,not checked,checked,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,not very proud,C1,own country,own town,female (housewife),22,NA,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,AB,own town,own country,female (working),21,small buisnessowner,14,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked
can't be too careful,not at all proud,C1,own country,own town,female (housewife),50,NA,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C1,own country,own town,female (housewife),9,jun. lvl. non-manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,C2,own town,local region,male,7,supervisor manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not at all proud,C1,local region,own town,female (working),57,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not at all proud,C1,own town,NA,male,11,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not at all proud,C1,own town,local region,male,53,small buisnessowner,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own town,local region,female (working),10,large buisnessowner,17,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
can't be too careful,quite proud,C1,own town,own country,female (working),3,farmers,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C1,own town,own country,male,9,farmers,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own country,the whole world,male,43,farmers,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,local region,own country,male,22,farmers,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own town,own country,male,17,farmers,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C1,own town,local region,female (working),46,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,female (working),47,semi-skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own town,own country,female (working),56,small buisnessowner,17,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,C1,own country,local region,male,1,small buisnessowner,21 or over,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,AB,Europe,own town,female (working),53,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,AB,own town,own country,male,19,mdl. lvl. non-manual,21 or over,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,C1,own country,local region,male,29,armed forces,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own country,own town,female (working),14,small buisnessowner,14,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,C2,own town,own country,female (housewife),61,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own country,NA,female (housewife),5,semi-skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,local region,NA,female (housewife),15,mdl. lvl. non-manual,21 or over,not checked,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C2,local region,own town,female (working),63,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own town,local region,female (working),30,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,own country,Europe,male,56,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,own town,own country,female (housewife),11,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own country,own town,female (working),25,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,male,62,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own town,own country,female (working),57,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own town,own country,male,46,unskilled manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,AB,own town,own country,male,41,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,own country,male,46,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,male,48,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own town,own country,male,24,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,own country,male,36,skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,male,24,jun. lvl. non-manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,AB,own country,own town,male,18,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,the whole world,Europe,female (housewife),12,NA,21 or over,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,DE,NA,NA,male,60,agricultural workers,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,local region,Europe,male,38,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,Europe,male,56,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,own town,female (housewife),18,jun. lvl. non-manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,quite proud,AB,own country,local region,male,63,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C1,own country,the whole world,male,40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,local region,female (housewife),10,jun. lvl. non-manual,16,checked,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,C2,local region,own country,female (working),58,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,own town,female (working),40,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,DE,own town,own country,male,57,skilled manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own town,local region,male,56,NA,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked
undetermined,not at all proud,C1,the whole world,own town,male,49,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,own town,female (housewife),24,supervisor manual,16,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own town,own country,male,15,supervisor manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own country,the whole world,male,11,supervisor manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,C1,own town,local region,female (working),38,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,male,15,supervisor manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own town,local region,male,18,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,local region,female (working),49,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own country,local region,female (housewife),35,NA,13,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
undetermined,quite proud,DE,own country,local region,female (working),52,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,own country,male,41,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,own town,female (working),45,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,own country,male,36,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,NA,NA,female (working),62,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,male,47,jun. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C2,own country,NA,male,56,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,own town,female (working),46,jun. lvl. non-manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,NA,NA,female (working),60,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,female (working),40,semi-skilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own town,own country,male,30,jun. lvl. non-manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not at all proud,AB,the whole world,Europe,female (housewife),43,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not very proud,AB,own town,own country,male,31,small buisnessowner,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked
undetermined,not at all proud,AB,Europe,own town,female (working),38,mdl. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked
undetermined,not very proud,C2,the whole world,Europe,male,61,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,AB,own country,local region,male,43,armed forces,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,AB,own town,own country,female (working),24,jun. lvl. non-manual,21 or over,checked,checked,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked
most can be trusted,not very proud,AB,Europe,own country,male,49,large buisnessowner,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,"NA",C1,own country,local region,male,9,farmers,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,own country,local region,male,8,small buisnessowner,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,local region,own country,male,45,farmers,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C1,own town,own country,female (housewife),6,farmers,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,"NA",C1,own town,own country,male,30,small buisnessowner,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,C1,local region,own country,female (housewife),43,NA,18,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
most can be trusted,not very proud,DE,own country,NA,female (housewife),14,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own country,own town,male,49,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,local region,male,57,farmers,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,own town,local region,male,12,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,own town,local region,male,14,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,male,60,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,local region,own town,female (working),52,unskilled manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,Europe,own country,male,31,armed forces,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,own country,female (working),51,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,the whole world,own country,male,60,armed forces,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own town,the whole world,female (working),47,supervisor manual,20,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not at all proud,DE,the whole world,own country,male,42,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,own town,local region,female (working),35,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C1,own town,own country,male,10,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,female (housewife),2,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,DE,NA,NA,male,52,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
undetermined,very proud,AB,own country,Europe,male,14,mdl. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,NA,NA,male,26,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,AB,own town,own country,female (working),28,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,NA,female (housewife),18,small buisnessowner,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,female (working),44,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,C1,own country,own town,female (housewife),38,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,male,39,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C1,local region,own country,male,51,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,local region,male,24,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,male,32,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,local region,own country,male,4,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,local region,own town,female (working),24,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,AB,own country,own town,male,25,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,local region,male,62,unskilled manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,female (working),53,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,AB,own country,Europe,male,18,prof. worker,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own country,own town,male,29,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own country,own town,male,16,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,own country,female (housewife),8,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,AB,the whole world,own town,male,43,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked
can't be too careful,not very proud,DE,own country,own town,female (housewife),46,unskilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
can't be too careful,very proud,DE,own country,own town,female (housewife),22,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,own town,male,26,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,AB,own town,local region,female (housewife),10,skilled manual,15,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
can't be too careful,not very proud,C1,local region,own country,female (working),51,small buisnessowner,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own country,local region,male,45,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,local region,male,22,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,local region,male,25,farmers,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own country,local region,female (housewife),4,farmers,12 or under,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C1,own country,Europe,male,21,farmers,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,NA,NA,male,57,farmers,20,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C2,own town,local region,female (working),38,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,own town,own country,male,41,prof. worker,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,AB,own town,own country,female (working),56,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own town,own country,male,27,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own town,local region,female (housewife),0,NA,14,checked,checked,not checked,checked,not checked,checked,checked,checked,not checked,checked,not checked
can't be too careful,quite proud,DE,own town,own country,male,4,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,own country,female (housewife),17,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,the whole world,male,49,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own town,own country,male,46,unskilled manual,17,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own town,own country,male,12,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own town,own country,female (working),37,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,NA,NA,male,12,small buisnessowner,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,own town,own country,female (housewife),6,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (housewife),5,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,own town,own country,female (housewife),43,NA,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,DE,own country,own town,male,55,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own country,local region,male,45,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,the whole world,Europe,male,55,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C2,own town,own country,male,12,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C1,own town,own country,male,36,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own country,own town,female (working),59,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,local region,own town,female (working),53,supervisor manual,15,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C2,own country,NA,male,42,skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,male,29,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,female (housewife),20,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,the whole world,local region,female (housewife),37,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own country,Europe,male,23,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
