trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,very proud,local region,own country,female,19,small buisnessowner,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,19,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,19,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Europe,own town,female,19,self-supporting akademic,skilled education,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,19,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,local region,own town,female,19,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,20,functionary with education,buisness or banking,8th grade,not allowed,checked,checked,not checked,checked,not checked,checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,20,functionary with education,social- and health - 1 year,8th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,female,20,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,female,20,functionary with education,skilled education,8th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,20,skilled,social- and health - 3-4 years,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,20,skilled,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,20,wife,NA,middleschool examn,not allowed,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,21,wife,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,checked,not checked
can't be too careful,very proud,own town,own country,female,21,NA,NA,8th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,21,functionary with education,skilled education,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,21,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,21,functionary without education,skilled education,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,22,wife,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,checked,checked,checked,checked,checked,not checked
most can be trusted,very proud,local region,own country,female,22,small buisnessowner,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,female,22,functionary without education,NA,real- girl- and preliminary examn,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,22,small buisnessowner,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own country,local region,female,22,functionary without education,NA,student or HF,not allowed,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,22,non-skilled,skilled education,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,22,NA,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,female,23,functionary without education,skilled education,middleschool examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,female,24,functionary with education,skilled education,middleschool examn,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,own town,own country,female,24,functionary without education,NA,8th grade,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,25,NA,NA,7th grade or less,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,25,non-skilled,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not at all proud,own country,local region,female,25,functionary without education,NA,9th grade,dont know,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,own town,female,25,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,25,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,25,functionary with education,skilled education,student or HF,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,26,functionary with education,social- and health - 1 year,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,26,skilled,skilled education,7th grade or less,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,27,wife,NA,7th grade or less,not allowed,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,female,27,wife,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
