trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
can't be too careful,quite proud,own country,Europe,male,54,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,male,54,small buisnessowner,skilled education,10th grade,not allowed,checked,checked,not checked,checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,54,skilled,skilled education,10th grade,not allowed,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,54,skilled,skilled education,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,local region,own country,male,54,functionary without education,master from university,student or HF,allowed,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,54,specialworker,special-worker-course,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,male,54,non-skilled,NA,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,54,functionary with education,master from university,10th grade,allowed,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,male,54,skilled,skilled education,9th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,Europe,male,54,functionary with education,social- and health - 1 year,gymnasium or simmilar no examn,either or,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,54,non-skilled,skilled education,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,male,54,leading functionary,master from university,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,54,functionary without education,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,54,leading functionary,NA,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,Europe,male,55,Farmer,skilled education,9th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,55,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own town,male,55,functionary with education,skilled education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,55,skilled,skilled education,8th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,Europe,male,55,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,55,small buisnessowner,skilled education,real- girl- and preliminary examn,not allowed,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,not very proud,own country,the whole world,male,55,non-skilled,NA,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,55,non-skilled,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,male,55,functionary without education,NA,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,55,specialworker,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,checked,not checked
most can be trusted,quite proud,local region,own country,male,55,functionary with education,buisness or banking,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not danish,Europe,the whole world,male,56,leading functionary,master from university,other,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,56,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own country,local region,male,56,functionary with education,buisness or banking,real- girl- and preliminary examn,either or,checked,checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,own country,own town,male,56,functionary without education,skilled education,other,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,56,functionary with education,skilled education,real- girl- and preliminary examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,own country,male,56,functionary with education,education - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,56,specialworker,skilled education,8th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,56,skilled,skilled education,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,56,leading functionary,buisness or banking,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,56,small buisnessowner,skilled education,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,not danish,own town,own country,male,56,non-skilled,NA,other,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,56,functionary with education,military education,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,male,56,armed forces,NA,2nd real,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,male,56,leading functionary,buisness or banking,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,the whole world,male,57,non-skilled,NA,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,Europe,male,57,large buisnessowner,buisness or banking,student or HF,allowed,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,57,Farmer,skilled education,10th grade,not allowed,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,57,functionary with education,master from university,student or HF,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,own town,local region,male,57,skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,Europe,male,57,functionary with education,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,57,non-skilled,skilled education,9th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,own town,local region,male,57,specialworker,special-worker-course,technical examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own town,local region,male,57,non-skilled,NA,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,local region,male,57,functionary without education,master from university,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,very proud,local region,Europe,male,57,functionary with education,short buisness or computer science,student or HF,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,57,small buisnessowner,NA,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,57,skilled,skilled education,8th grade,either or,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,local region,male,57,large buisnessowner,education - 3-4 years,student or HF,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,57,skilled,skilled education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,58,functionary with education,skilled education,9th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,58,functionary without education,NA,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,own country,male,58,skilled,skilled education,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,58,small buisnessowner,NA,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,male,58,functionary with education,buisness or banking,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,dont know,dont know,male,58,functionary with education,military education,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not at all proud,own town,local region,male,58,non-skilled,other,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,58,non-skilled,technical - 2-3 years,student or HF,allowed,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,58,non-skilled,NA,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,58,functionary with education,FE technical,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,local region,own country,male,58,skilled,skilled education,expanded technical examn,dont know,checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,59,functionary with education,short buisness or computer science,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,own country,own town,male,59,functionary with education,master from university,student or HF,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,59,specialworker,special-worker-course,9th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,59,functionary without education,NA,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,59,non-skilled,NA,9th grade,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,male,59,specialworker,skilled education,9th grade,not allowed,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,59,specialworker,skilled education,10th grade,allowed,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,59,non-skilled,NA,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,male,59,specialworker,NA,10th grade,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,60,functionary without education,skilled education,10th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,60,functionary without education,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,60,skilled,skilled education,9th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,male,60,functionary with education,education - 3-4 years,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,60,armed forces,military education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,60,functionary with education,FE technical,student or HF,allowed,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,60,skilled,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,60,small buisnessowner,skilled education,expanded technical examn,allowed,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,60,non-skilled,NA,9th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,60,non-skilled,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,male,60,leading functionary,NA,real- girl- and preliminary examn,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,male,60,functionary with education,skilled education,student or HF,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,male,60,functionary with education,master from university,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,61,functionary with education,short buisness or computer science,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,the whole world,own town,male,61,trainee - craftmanship,social- and health - 3-4 years,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,the whole world,male,61,skilled,skilled education,real- girl- and preliminary examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,61,functionary with education,education - 3-4 years,2nd real,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,61,functionary with education,other,2nd real,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,61,functionary with education,skilled education,10th grade,dont know,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,61,skilled,skilled education,expanded technical examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,61,functionary with education,master from university,student or HF,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,61,non-skilled,skilled education,9th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,61,non-skilled,NA,9th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,the whole world,male,61,functionary with education,skilled education,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,62,skilled,NA,10th grade,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,local region,male,62,functionary with education,FE technical,10th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,own country,male,62,non-skilled,NA,10th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,male,62,functionary with education,skilled education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,62,skilled,skilled education,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,62,functionary with education,buisness or banking,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,62,skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own country,the whole world,male,62,armed forces,military education,10th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,checked,not checked
can't be too careful,not very proud,own country,the whole world,male,62,skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,62,armed forces,military education,student or HF,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,local region,own country,male,62,skilled,skilled education,10th grade,not allowed,checked,not checked,not checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own country,local region,male,63,leading functionary,skilled education,10th grade,not allowed,not checked,checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,63,functionary without education,NA,10th grade,not allowed,checked,checked,not checked,checked,checked,not checked,checked,checked,checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,not very proud,own country,Europe,male,63,functionary with education,skilled education,10th grade,allowed,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,63,skilled,skilled education,9th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,local region,own country,male,63,non-skilled,NA,10th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,63,leading functionary,master from university,student or HF,either or,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,63,functionary with education,buisness or banking,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,63,leading functionary,skilled education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,the whole world,dont know,male,63,functionary without education,skilled education,10th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own country,own town,male,63,functionary without education,skilled education,10th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,very proud,own town,local region,male,64,small buisnessowner,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,64,skilled,skilled education,9th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,64,specialworker,other,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,64,agricultural workers,other,10th grade,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,male,64,large buisnessowner,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,Europe,the whole world,male,64,functionary without education,buisness or banking,9th grade,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,own town,own country,male,64,teinee - shop or office,education - 3-4 years,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,64,self-supporting akademic,skilled education,10th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,64,non-skilled,NA,8th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,the whole world,male,64,functionary with education,skilled education,9th grade,dont know,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,64,skilled,skilled education,8th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,Europe,the whole world,male,64,functionary with education,other,student or HF,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,64,skilled,skilled education,9th grade,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,male,64,skilled,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,64,NA,master from university,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,male,64,skilled,skilled education,9th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,checked,not checked
can't be too careful,quite proud,own town,local region,male,65,skilled,skilled education,9th grade,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,checked,checked,not checked
